0,1,2
French Language,46600,80200
Environmental Studies,45900,80100
Management (MGT),44800,80100
Communication,45300,79900
General & Strategic Management,48900,79800
Merchandising Management,44200,79800
Dental Hygiene,70400,79600
Hydrology,45300,79600
Global Business,53200,79500
Retail & Consumer Science,48500,79500
Literature,44400,79500
Emergency Management,49600,79400
Interpersonal & Organizational Communication,40300,79400
Nuclear Medicine,57800,79400
History & Political Science,48400,79300
Retail Merchandising,48000,79200
Agriculture,45300,79100
Environmental Management,47300,79100
Professional & Technical Writing,46000,79100
International Development Studies,45500,79000
Workforce Education & Development,57100,79000
Journalism & Mass Communication,43700,79000
Pre-Medicine,48400,78900
Bachelor in Science Nursing,61000,78800
Network Technology,54900,78800
Theatre & Drama Studies,41500,78600
Law,51900,78500
Law Enforcement,43800,78400
Printing Technology,43800,78400
Public Relations & Communication,43600,78400
Foreign Languages,47800,78300
Interior Architecture,45100,78300
Marine Science,44000,78300
Public Management,47800,78300
Web Development,54100,78300
Journalism,43500,78200
Landscape Architecture,49000,78200
Environmental Geography,47100,78200
Bachelor of Science in Nursing,60700,78100
Digital Media,44500,78000
Welding Technology,46100,78000
Nutrition Science,45900,77800
Accounting & Business,49400,77600
Diagnostic Medical Sonography,62200,77600
American History (United States),47800,77500
Strategic Communication,44600,77500
Public Relations (PR),43000,77400
Natural Sciences,41700,77300
International Affairs,49100,77200
Drama,43900,77200
Network Administration,46900,77200
Media Studies,48300,77100
Organizational Development,51600,77000
Writing,41800,77000
Integrated Marketing Communications,44600,76900
Crisis & Emergency Management,46600,76800
Organizational Communication,44000,76800
Retailing,48900,76800
Speech Communication,43900,76800
Allied Health,41800,76700
Environmental Biology,43000,76700
Nuclear Medicine Technology,58900,76700
Apparel & Textile Manufacture,45700,76600
Technology Management,53900,76500
Film Production,42700,76400
Security Management,44800,76400
Acting,42200,76200
Broadcast & Cinematic Arts,41900,76200
Business Management & Administration,48600,76200
Marine Biology,40800,76200
Professional Studies,42100,76200
Romance Languages,50300,76200
Computer Animation,44500,76100
Cytotechnology,58100,76000
Broadcast Journalism,41100,76000
Geography,46900,76000
Journalism & Electronic Media,42100,75900
Automotive Technology,45800,75800
Interpersonal Communications,43100,75800
Law & Society,44400,75700
Agricultural Business,50300,75600
Ancient History,43900,75600
Computer Aided Design (CAD),46500,75500
Computer Art,41200,75500
Administration,43100,75400
Forestry,44700,75400
Urban Studies,48600,75300
Business Law,51100,75100
Radio/Television & Film Production,42800,75000
Digital Design,48200,74800
Forensic Science,43800,74800
Geosciences,46600,74800
Logistics Management,52800,74800
Ecology,43500,74700
English & History,43600,74700
English Language & Literature,43900,74700
American Sign Language Interpreting,42500,74600
Homeland Security,46800,74600
Zoology,40300,74600
English Language,42100,74500
Human Resources Management (HRM),45300,74400
Technical Writing,52000,74300
Automotive Technology & Service Management,45400,74300
Business Technology,49800,74100
Mass Communication,42700,74100
Health Sciences,42400,74000
Organizational Leadership,47400,74000
Musicology,38100,73900
Spanish Language,44900,73600
Historic Preservation,41300,73500
Music Technology,42900,73500
Organizational Leadership & Supervision,46400,73500
Human Nutrition,45500,73400
Spanish Language Teacher Education,43900,73400
Botany,40300,73300
Apparel Merchandising,45400,73200
Environmental Health Science,51400,73100
Media & Technology,41400,73100
Public Administration,44200,73100
Liberal Arts,42500,73000
Merchandising,50500,73000
Environmental Resource Management,45700,72900
Computer Aided Drafting & Design (CADD),46800,72800
Forestry Management,44300,72800
